split,target,MAE,RMSE,R2
train,air_T_C,0.026484253822035085,0.034902222496378116,0.999983325035848
val,air_T_C,0.03690512842200936,0.08824124128737065,0.9998951589005239
test,air_T_C,0.031213887315433765,0.059476859998257955,0.9999506644365902
train,pCO2_ppm,13.162594209769871,16.375758725820553,0.9272557790266168
val,pCO2_ppm,13.67696684451723,17.0253305290754,0.9220495298684335
test,pCO2_ppm,13.595765445147235,16.948334959006292,0.9167643993232089
train,radon_Bq_m3,18.968109067416965,23.746337383855465,0.7471259756235606
val,radon_Bq_m3,20.118635391740234,25.21187708639017,0.7213132766121535
test,radon_Bq_m3,19.617793322172766,24.673788863832378,0.7082395766515788
