feature,rf_importance,xgb_importance,dt_importance
Age,0.03153776887140717,0.014521441,0.022328451205200946
Height,0.013452930529149651,0.010918671,0.006763852312758514
HeartRate,0.17756531213317867,0.20638864,0.32951210353891236
BloodPressure,0.27803916806737194,0.23790304,0.24705261690767588
OxygenSaturation,0.282757976492923,0.3392101,0.16372051151819617
ActivityLevel,0.00872360039326416,0.013672243,0.005412528001646761
StressLevel,0.017213940535156482,0.01159542,0.007217525456904702
BMI,0.19070930297754904,0.16579044,0.2179924110587046
